episode,step,s0,s1,s2,s3,a,r,s_0,s_1,s_2,s_3,p0,p1
0,0,0.011,0.034,0.014,0.009,0,1.0,0.012,-0.165,0.014,0.407,0.07304120803866063,0.3656961190344961
0,1,0.012,-0.165,0.014,0.407,0,1.0,0.009,-0.365,0.023,0.806,0.07304120803866063,0.3656961190344961
0,2,0.009,-0.365,0.023,0.806,0,1.0,0.001,-0.565,0.039,1.207,0.07304120803866063,0.3656961190344961
0,3,0.001,-0.565,0.039,1.207,0,1.0,-0.01,-0.766,0.063,1.616,0.07304120803866063,0.3656961190344961
0,4,-0.01,-0.766,0.063,1.616,1,1.0,-0.025,-0.567,0.095,1.25,0.07304120803866063,0.3656961190344961
0,5,-0.025,-0.567,0.095,1.25,1,1.0,-0.036,-0.369,0.12,0.9,0.07304120803866063,0.3656961190344961
0,6,-0.036,-0.369,0.12,0.9,1,1.0,-0.044,-0.172,0.138,0.561,0.07304120803866063,0.3656961190344961
0,7,-0.044,-0.172,0.138,0.561,0,1.0,-0.047,-0.374,0.149,1.007,0.07304120803866063,0.3656961190344961
0,8,-0.047,-0.374,0.149,1.007,0,1.0,-0.055,-0.576,0.17,1.458,0.07304120803866063,0.3656961190344961
0,9,-0.055,-0.576,0.17,1.458,1,1.0,-0.066,-0.38,0.199,1.142,0.07304120803866063,0.3656961190344961
0,10,-0.066,-0.38,0.199,1.142,1,1.0,-0.074,-0.184,0.222,0.841,0.07304120803866063,0.3656961190344961
1,0,0.001,0.045,-0.036,0.045,0,1.0,0.002,-0.145,-0.035,0.218,0.12594187674598867,0.8292876189356602
1,1,0.002,-0.145,-0.035,0.218,0,1.0,-0.001,-0.334,-0.03,0.391,0.12594187674598867,0.8292876189356602
1,2,-0.001,-0.334,-0.03,0.391,0,1.0,-0.007,-0.524,-0.023,0.565,0.12594187674598867,0.8292876189356602
1,3,-0.007,-0.524,-0.023,0.565,1,1.0,-0.018,-0.334,-0.011,0.38,0.12594187674598867,0.8292876189356602
1,4,-0.018,-0.334,-0.011,0.38,1,1.0,-0.025,-0.144,-0.004,0.198,0.12594187674598867,0.8292876189356602
1,5,-0.025,-0.144,-0.004,0.198,1,1.0,-0.028,0.046,0.0,0.018,0.12594187674598867,0.8292876189356602
