episode,step,s0,s1,s2,s3,a,r,s_0,s_1,s_2,s_3,p0,p1
0,0,-0.041,0.037,0.015,-0.0,0,1.0,-0.04,-0.157,0.015,0.276,0.24,0.6
0,1,-0.04,-0.157,0.015,0.276,1,1.0,-0.043,0.037,0.02,0.009,0.24,0.6
0,2,-0.043,0.037,0.02,0.009,1,1.0,-0.042,0.231,0.02,-0.257,0.24,0.6
0,3,-0.042,0.231,0.02,-0.257,1,1.0,-0.038,0.425,0.015,-0.523,0.24,0.6
0,4,-0.038,0.425,0.015,-0.523,0,1.0,-0.029,0.23,0.005,-0.247,0.24,0.6
0,5,-0.029,0.23,0.005,-0.247,0,1.0,-0.025,0.036,-0.0,0.026,0.24,0.6
0,6,-0.025,0.036,-0.0,0.026,0,1.0,-0.024,-0.158,0.0,0.298,0.24,0.6
0,7,-0.024,-0.158,0.0,0.298,0,1.0,-0.027,-0.352,0.006,0.57,0.24,0.6
0,8,-0.027,-0.352,0.006,0.57,0,1.0,-0.034,-0.546,0.018,0.843,0.24,0.6
0,9,-0.034,-0.546,0.018,0.843,0,1.0,-0.045,-0.741,0.034,1.12,0.24,0.6
0,10,-0.045,-0.741,0.034,1.12,1,1.0,-0.06,-0.547,0.057,0.859,0.24,0.6
0,11,-0.06,-0.547,0.057,0.859,1,1.0,-0.071,-0.354,0.074,0.604,0.24,0.6
0,12,-0.071,-0.354,0.074,0.604,0,1.0,-0.078,-0.549,0.086,0.896,0.24,0.6
0,13,-0.078,-0.549,0.086,0.896,1,1.0,-0.089,-0.356,0.104,0.651,0.24,0.6
0,14,-0.089,-0.356,0.104,0.651,0,1.0,-0.096,-0.551,0.117,0.951,0.24,0.6
0,15,-0.096,-0.551,0.117,0.951,0,1.0,-0.107,-0.746,0.136,1.254,0.24,0.6
0,16,-0.107,-0.746,0.136,1.254,0,1.0,-0.122,-0.942,0.161,1.562,0.24,0.6
0,17,-0.122,-0.942,0.161,1.562,1,1.0,-0.141,-0.75,0.192,1.341,0.24,0.6
0,18,-0.141,-0.75,0.192,1.341,1,1.0,-0.156,-0.558,0.219,1.131,0.24,0.6
1,0,0.001,0.045,-0.036,0.045,1,1.0,0.002,0.264,-0.035,-0.781,0.63,0.3
1,1,0.002,0.264,-0.035,-0.781,1,1.0,0.007,0.484,-0.05,-1.607,0.63,0.3
1,2,0.007,0.484,-0.05,-1.607,1,1.0,0.017,0.703,-0.082,-2.443,0.63,0.3
1,3,0.017,0.703,-0.082,-2.443,0,1.0,0.031,0.488,-0.131,-1.722,0.63,0.3
1,4,0.031,0.488,-0.131,-1.722,1,1.0,0.041,0.71,-0.166,-2.611,0.63,0.3
1,5,0.041,0.71,-0.166,-2.611,0,1.0,0.055,0.499,-0.218,-1.976,0.63,0.3
2,0,-0.024,-0.02,0.031,-0.041,1,1.0,-0.024,0.211,0.031,-1.117,0.57,0.2
2,1,-0.024,0.211,0.031,-1.117,0,1.0,-0.02,-0.023,0.008,0.034,0.57,0.2
2,2,-0.02,-0.023,0.008,0.034,0,1.0,-0.021,-0.256,0.009,1.159,0.57,0.2
2,3,-0.021,-0.256,0.009,1.159,0,1.0,-0.026,-0.489,0.032,2.284,0.57,0.2
2,4,-0.026,-0.489,0.032,2.284,1,1.0,-0.035,-0.259,0.078,1.208,0.57,0.2
